timestamp,sn,text,EST
2019-05-23 03:32:07,Team_DMP,"#AmazingRace Sea. 31, Ep. 5 &amp; 6: Two very fun and exciting legs. I like that the team are very close to each other.… https://t.co/FVKoBxjys1",2019-05-22 22:32:07
2019-05-23 03:32:04,kam_isforever,RT @FightYouForIt1: Corrine and Eliza after seeing the Reilly sisters survive another week.. #AmazingRace https://t.co/R07Gw2CMGh,2019-05-22 22:32:04
2019-05-23 03:31:37,jojoanello,"RT @SarahQuider: Phil is excited for another episode! #winegirls #amazingrace 
@PhilKeoghan @AmazingRaceCBS @jodiwincheski https://t.co/yH7…",2019-05-22 22:31:37
2019-05-23 03:31:13,AlexSeifer,"Fantasy Amazing Race Line-Up: 
Brendan &amp; Rachel or Vanessa &amp; Dave
Dave &amp; Rachel (Army Couple)
Tina &amp; Ken
Becca &amp; Fl… https://t.co/ThEMIeaewa",2019-05-22 22:31:13
2019-05-23 03:30:42,LeslieGzz,RT @SrslyChris: Elissa getting fed up with Rachel’s sentimental crying is everything. #AmazingRace,2019-05-22 22:30:42
2019-05-23 03:30:37,ErinEMalone,"RT @SarahQuider: Phil is excited for another episode! #winegirls #amazingrace 
@PhilKeoghan @AmazingRaceCBS @jodiwincheski https://t.co/yH7…",2019-05-22 22:30:37
2019-05-23 03:30:31,ErinEMalone,"RT @SarahQuider: Still waiting for our call: https://t.co/tY3FKUCIkb
#winegirls #amazingrace @AmazingRaceCBS @PhilKeoghan @jodiwincheski @E…",2019-05-22 22:30:31
2019-05-23 03:29:17,CaitlinNetzer,I love @ElissaReillyS SO MUCH she is soooo hilarious with @RachelEReilly ❤️ we need another round of Elissa on BB.… https://t.co/VSoBz2Jz1s,2019-05-22 22:29:17
2019-05-23 03:28:47,TVGal_Chele,"RT @randyknup: The #AmazingRace #TAR31 Eps 5&amp;6 Draft K Update:
@TVGal_Chele @floressa94 @ttrenae @wakinga_rus @tmzerep27 @kortneyspaeth @ja…",2019-05-22 22:28:47
2019-05-23 03:28:11,TravelWithJared,"RT @AmazingRaceCBS: $1 million is still up for grabs, and the remaining teams are giving it their all. The #AmazingRace returns tonight at…",2019-05-22 22:28:11
